Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_adm,integer_adm_num,integer_adm_den,integer_adm_num_scale0,integer_adm_den_scale0,integer_adm_num_scale1,integer_adm_den_scale1,integer_adm_num_scale2,integer_adm_den_scale2,integer_adm_num_scale3,integer_adm_den_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,integer_vif,integer_vif_num,integer_vif_den,integer_vif_num_scale0,integer_vif_den_scale0,integer_vif_num_scale1,integer_vif_den_scale1,integer_vif_num_scale2,integer_vif_den_scale2,integer_vif_num_scale3,integer_vif_den_scale3,integer_motion3,vmaf,
0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,237.079708,237.079725,103.967118,103.967125,65.573960,65.573965,41.408153,41.408157,26.130477,26.130478,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,11016000.000000,11016000.000000,8294400.000000,8294400.000000,2073600.000000,2073600.000000,518400.000000,518400.000000,129600.000000,129600.000000,0.000000,97.428027,
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,237.079708,237.079725,103.967118,103.967125,65.573960,65.573965,41.408153,41.408157,26.130477,26.130478,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,11016000.000000,11016000.000000,8294400.000000,8294400.000000,2073600.000000,2073600.000000,518400.000000,518400.000000,129600.000000,129600.000000,0.000000,97.428027,
2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,237.079708,237.079725,103.967118,103.967125,65.573960,65.573965,41.408153,41.408157,26.130477,26.130478,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,11016000.000000,11016000.000000,8294400.000000,8294400.000000,2073600.000000,2073600.000000,518400.000000,518400.000000,129600.000000,129600.000000,0.000000,97.428027,
3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,237.079708,237.079725,103.967118,103.967125,65.573960,65.573965,41.408153,41.408157,26.130477,26.130478,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,11016000.000000,11016000.000000,8294400.000000,8294400.000000,2073600.000000,2073600.000000,518400.000000,518400.000000,129600.000000,129600.000000,0.000000,97.428027,
4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,237.079708,237.079725,103.967118,103.967125,65.573960,65.573965,41.408153,41.408157,26.130477,26.130478,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,11016000.000000,11016000.000000,8294400.000000,8294400.000000,2073600.000000,2073600.000000,518400.000000,518400.000000,129600.000000,129600.000000,0.000000,97.428027,
5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,237.079708,237.079725,103.967118,103.967125,65.573960,65.573965,41.408153,41.408157,26.130477,26.130478,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,11016000.000000,11016000.000000,8294400.000000,8294400.000000,2073600.000000,2073600.000000,518400.000000,518400.000000,129600.000000,129600.000000,0.000000,97.428027,
6,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,237.079708,237.079725,103.967118,103.967125,65.573960,65.573965,41.408153,41.408157,26.130477,26.130478,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,11016000.000000,11016000.000000,8294400.000000,8294400.000000,2073600.000000,2073600.000000,518400.000000,518400.000000,129600.000000,129600.000000,0.000000,97.428027,
7,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,237.079708,237.079725,103.967118,103.967125,65.573960,65.573965,41.408153,41.408157,26.130477,26.130478,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,11016000.000000,11016000.000000,8294400.000000,8294400.000000,2073600.000000,2073600.000000,518400.000000,518400.000000,129600.000000,129600.000000,0.000000,97.428027,
8,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,237.079708,237.079725,103.967118,103.967125,65.573960,65.573965,41.408153,41.408157,26.130477,26.130478,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,11016000.000000,11016000.000000,8294400.000000,8294400.000000,2073600.000000,2073600.000000,518400.000000,518400.000000,129600.000000,129600.000000,0.000000,97.428027,
9,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,237.079708,237.079725,103.967118,103.967125,65.573960,65.573965,41.408153,41.408157,26.130477,26.130478,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,11016000.000000,11016000.000000,8294400.000000,8294400.000000,2073600.000000,2073600.000000,518400.000000,518400.000000,129600.000000,129600.000000,0.000000,97.428027,
10,0.985220,0.989540,0.981377,0.980744,0.986377,0.985220,399.338357,405.329084,114.931930,116.146866,93.952671,95.735521,62.263680,63.486183,128.190075,129.960514,0.179424,48.582123,0.995028,0.998875,0.999272,0.999647,0.996007,12056408.887019,12104747.445801,9067601.410997,9112914.952637,2270112.122760,2272668.380371,572913.987168,573331.288574,145781.366093,145832.824219,0.179424,94.389818,
11,0.985413,0.989633,0.981284,0.980850,0.986913,0.985413,399.310098,405.220929,114.947440,116.151531,93.952478,95.744400,62.254153,63.469592,128.156027,129.855406,0.179424,0.179424,0.995069,0.998910,0.999307,0.999651,0.996046,12056932.606126,12104790.950684,9068036.633853,9112970.157227,2270182.370435,2272659.193359,572930.321022,573327.417480,145783.280815,145834.182617,0.179424,94.433931,
12,0.986017,0.989747,0.981702,0.982635,0.987518,0.986017,399.320564,404.983304,114.939052,116.129787,93.962493,95.713896,62.359708,63.461704,128.059311,129.677917,0.186749,0.187659,0.995244,0.999012,0.999370,0.999765,0.996202,12060069.658932,12106053.825195,9070558.324791,9113902.416504,2270659.851126,2272904.433105,573036.880739,573398.119141,145814.602277,145848.856445,0.186749,94.587968,
13,0.985987,0.989421,0.981682,0.981026,0.988523,0.985987,399.157585,404.830625,114.935353,116.164196,93.985152,95.738913,62.305490,63.510554,127.931590,129.416962,0.186749,0.186749,0.995182,0.998954,0.999300,0.999693,0.996140,12060953.963254,12107695.584473,9071203.385893,9115120.739258,2270858.094027,2273236.179199,573073.171774,573474.578125,145819.311559,145864.087891,0.186749,94.572068,
14,0.986065,0.989460,0.981976,0.980598,0.988717,0.986065,399.559391,405.206020,114.929871,116.154118,93.954702,95.679199,62.328888,63.562097,128.345929,129.810607,0.185347,0.200009,0.995076,0.998885,0.999246,0.999652,0.996044,12063842.265205,12111762.396973,9073339.453674,9118240.522461,2271441.052949,2273976.640137,573206.303932,573639.058594,145855.454652,145906.175781,0.185347,94.581020,
15,0.986329,0.989421,0.982073,0.981693,0.988957,0.986329,400.190246,405.737183,114.924837,116.153652,93.945369,95.660313,62.389420,63.552892,128.930620,130.370326,0.185347,0.185347,0.995100,0.998868,0.999219,0.999631,0.996057,12065828.576521,12113591.577637,9075002.083345,9119687.908203,2271710.016018,2274285.211426,573248.980928,573697.185547,145867.496230,145921.272461,0.185347,94.635487,
