Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_adm,integer_adm_num,integer_adm_den,integer_adm_num_scale0,integer_adm_den_scale0,integer_adm_num_scale1,integer_adm_den_scale1,integer_adm_num_scale2,integer_adm_den_scale2,integer_adm_num_scale3,integer_adm_den_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,integer_vif,integer_vif_num,integer_vif_den,integer_vif_num_scale0,integer_vif_den_scale0,integer_vif_num_scale1,integer_vif_den_scale1,integer_vif_num_scale2,integer_vif_den_scale2,integer_vif_num_scale3,integer_vif_den_scale3,integer_motion3,vmaf,
0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,237.079708,237.079725,103.967118,103.967125,65.573960,65.573965,41.408153,41.408157,26.130477,26.130478,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,11016000.000000,11016000.000000,8294400.000000,8294400.000000,2073600.000000,2073600.000000,518400.000000,518400.000000,129600.000000,129600.000000,1024.000000,97.428027,
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,237.079708,237.079725,103.967118,103.967125,65.573960,65.573965,41.408153,41.408157,26.130477,26.130478,1024.000000,1024.000000,1.000000,1.000000,1.000000,1.000000,1.000000,11016000.000000,11016000.000000,8294400.000000,8294400.000000,2073600.000000,2073600.000000,518400.000000,518400.000000,129600.000000,129600.000000,1024.000000,100.000000,
2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,237.079708,237.079725,103.967118,103.967125,65.573960,65.573965,41.408153,41.408157,26.130477,26.130478,1024.000000,1024.000000,1.000000,1.000000,1.000000,1.000000,1.000000,11016000.000000,11016000.000000,8294400.000000,8294400.000000,2073600.000000,2073600.000000,518400.000000,518400.000000,129600.000000,129600.000000,1024.000000,100.000000,
3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,237.079708,237.079725,103.967118,103.967125,65.573960,65.573965,41.408153,41.408157,26.130477,26.130478,1024.000000,1024.000000,1.000000,1.000000,1.000000,1.000000,1.000000,11016000.000000,11016000.000000,8294400.000000,8294400.000000,2073600.000000,2073600.000000,518400.000000,518400.000000,129600.000000,129600.000000,1024.000000,100.000000,
4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,237.079708,237.079725,103.967118,103.967125,65.573960,65.573965,41.408153,41.408157,26.130477,26.130478,1024.000000,1024.000000,1.000000,1.000000,1.000000,1.000000,1.000000,11016000.000000,11016000.000000,8294400.000000,8294400.000000,2073600.000000,2073600.000000,518400.000000,518400.000000,129600.000000,129600.000000,1024.000000,100.000000,
5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,237.079708,237.079725,103.967118,103.967125,65.573960,65.573965,41.408153,41.408157,26.130477,26.130478,1024.000000,1024.000000,1.000000,1.000000,1.000000,1.000000,1.000000,11016000.000000,11016000.000000,8294400.000000,8294400.000000,2073600.000000,2073600.000000,518400.000000,518400.000000,129600.000000,129600.000000,1024.000000,100.000000,
6,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,237.079708,237.079725,103.967118,103.967125,65.573960,65.573965,41.408153,41.408157,26.130477,26.130478,1024.000000,1024.000000,1.000000,1.000000,1.000000,1.000000,1.000000,11016000.000000,11016000.000000,8294400.000000,8294400.000000,2073600.000000,2073600.000000,518400.000000,518400.000000,129600.000000,129600.000000,1024.000000,100.000000,
7,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,237.079708,237.079725,103.967118,103.967125,65.573960,65.573965,41.408153,41.408157,26.130477,26.130478,1024.000000,1024.000000,1.000000,1.000000,1.000000,1.000000,1.000000,11016000.000000,11016000.000000,8294400.000000,8294400.000000,2073600.000000,2073600.000000,518400.000000,518400.000000,129600.000000,129600.000000,1024.000000,100.000000,
8,0.059679,0.128040,0.097015,0.034178,0.020524,0.059679,237.079708,3972.595898,103.967118,811.987057,65.573960,675.912552,41.408153,1211.558167,26.130477,1273.138123,4131.431494,4131.519855,0.256930,0.380894,0.370117,0.332204,0.277410,8771804.000000,31620362.752930,6732300.000000,26202890.043457,1573143.000000,4130135.184082,377821.000000,1020814.257324,88540.000000,266523.268066,4131.431494,100.000000,
9,0.059718,0.128085,0.097137,0.034155,0.020562,0.059718,237.079708,3969.968948,103.967118,811.702362,65.573960,675.069855,41.408153,1212.354233,26.130477,1270.842499,4131.431494,4131.431494,0.257188,0.380742,0.369805,0.331958,0.277615,8773586.000000,31603441.921875,6733940.000000,26182913.573730,1573462.000000,4132622.598633,377685.000000,1021308.803711,88499.000000,266596.945801,4131.431494,100.000000,
