Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_adm,integer_adm_num,integer_adm_den,integer_adm_num_scale0,integer_adm_den_scale0,integer_adm_num_scale1,integer_adm_den_scale1,integer_adm_num_scale2,integer_adm_den_scale2,integer_adm_num_scale3,integer_adm_den_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,integer_vif,integer_vif_num,integer_vif_den,integer_vif_num_scale0,integer_vif_den_scale0,integer_vif_num_scale1,integer_vif_den_scale1,integer_vif_num_scale2,integer_vif_den_scale2,integer_vif_num_scale3,integer_vif_den_scale3,integer_motion3,vmaf,
0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,237.079708,237.079725,103.967118,103.967125,65.573960,65.573965,41.408153,41.408157,26.130477,26.130478,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,11016000.000000,11016000.000000,8294400.000000,8294400.000000,2073600.000000,2073600.000000,518400.000000,518400.000000,129600.000000,129600.000000,1024.000000,97.428027,
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,237.079708,237.079725,103.967118,103.967125,65.573960,65.573965,41.408153,41.408157,26.130477,26.130478,1024.000000,1024.000000,1.000000,1.000000,1.000000,1.000000,1.000000,11016000.000000,11016000.000000,8294400.000000,8294400.000000,2073600.000000,2073600.000000,518400.000000,518400.000000,129600.000000,129600.000000,1024.000000,100.000000,
2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,237.079708,237.079725,103.967118,103.967125,65.573960,65.573965,41.408153,41.408157,26.130477,26.130478,1024.000000,1024.000000,1.000000,1.000000,1.000000,1.000000,1.000000,11016000.000000,11016000.000000,8294400.000000,8294400.000000,2073600.000000,2073600.000000,518400.000000,518400.000000,129600.000000,129600.000000,1024.000000,100.000000,
3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,237.079708,237.079725,103.967118,103.967125,65.573960,65.573965,41.408153,41.408157,26.130477,26.130478,1024.000000,1024.000000,1.000000,1.000000,1.000000,1.000000,1.000000,11016000.000000,11016000.000000,8294400.000000,8294400.000000,2073600.000000,2073600.000000,518400.000000,518400.000000,129600.000000,129600.000000,1024.000000,100.000000,
4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,237.079708,237.079725,103.967118,103.967125,65.573960,65.573965,41.408153,41.408157,26.130477,26.130478,1024.000000,1024.000000,1.000000,1.000000,1.000000,1.000000,1.000000,11016000.000000,11016000.000000,8294400.000000,8294400.000000,2073600.000000,2073600.000000,518400.000000,518400.000000,129600.000000,129600.000000,1024.000000,100.000000,
5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,237.079708,237.079725,103.967118,103.967125,65.573960,65.573965,41.408153,41.408157,26.130477,26.130478,1024.000000,1024.000000,1.000000,1.000000,1.000000,1.000000,1.000000,11016000.000000,11016000.000000,8294400.000000,8294400.000000,2073600.000000,2073600.000000,518400.000000,518400.000000,129600.000000,129600.000000,1024.000000,100.000000,
6,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,237.079708,237.079725,103.967118,103.967125,65.573960,65.573965,41.408153,41.408157,26.130477,26.130478,1024.000000,1024.000000,1.000000,1.000000,1.000000,1.000000,1.000000,11016000.000000,11016000.000000,8294400.000000,8294400.000000,2073600.000000,2073600.000000,518400.000000,518400.000000,129600.000000,129600.000000,1024.000000,100.000000,
7,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,237.079708,237.079725,103.967118,103.967125,65.573960,65.573965,41.408153,41.408157,26.130477,26.130478,1024.000000,1024.000000,1.000000,1.000000,1.000000,1.000000,1.000000,11016000.000000,11016000.000000,8294400.000000,8294400.000000,2073600.000000,2073600.000000,518400.000000,518400.000000,129600.000000,129600.000000,1024.000000,100.000000,
8,0.059679,0.128040,0.097015,0.034178,0.020524,0.059679,237.079708,3972.595898,103.967118,811.987057,65.573960,675.912552,41.408153,1211.558167,26.130477,1273.138123,1024.000000,4131.519855,0.256930,0.380894,0.370117,0.332204,0.277410,8771804.000000,31620362.752930,6732300.000000,26202890.043457,1573143.000000,4130135.184082,377821.000000,1020814.257324,88540.000000,266523.268066,1024.000000,100.000000,
9,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,237.079708,237.079725,103.967118,103.967125,65.573960,65.573965,41.408153,41.408157,26.130477,26.130478,1024.000000,1024.000000,0.814058,0.984409,0.992138,0.993168,0.856612,9436434.855828,11016000.000000,6752126.164873,8294400.000000,2041269.670799,2073600.000000,514324.429806,518400.000000,128714.590351,129600.000000,1024.000000,100.000000,
